source_id,type_of_water_source,number_of_people_served,priority_status
AkHa00000224,tap_in_home,956,STANDARD
AkHa00001224,tap_in_home_broken,930,CRITICAL
AkHa00002224,tap_in_home_broken,486,CRITICAL
AkHa00003224,well,364,HIGH (Requires Pollution Check)
AkHa00004224,tap_in_home_broken,942,CRITICAL
AkHa00005224,tap_in_home,736,STANDARD
AkHa00006224,tap_in_home,882,STANDARD
AkHa00007224,tap_in_home,554,STANDARD
AkHa00008224,well,398,HIGH (Requires Pollution Check)
AkHa00009224,well,346,HIGH (Requires Pollution Check)
AkHa00010224,well,236,HIGH (Requires Pollution Check)
AkHa00011224,well,168,HIGH (Requires Pollution Check)
AkHa00012224,well,192,HIGH (Requires Pollution Check)
AkHa00013224,shared_tap,2212,STANDARD
AkHa00014224,tap_in_home_broken,574,CRITICAL
AkHa00015224,tap_in_home,862,STANDARD
AkHa00016224,well,278,HIGH (Requires Pollution Check)
AkHa00017224,tap_in_home_broken,414,CRITICAL
AkHa00018224,well,390,HIGH (Requires Pollution Check)
AkHa00019224,tap_in_home_broken,320,CRITICAL
AkHa00020224,well,234,HIGH (Requires Pollution Check)
AkHa00021224,tap_in_home_broken,330,CRITICAL
AkHa00022224,well,304,HIGH (Requires Pollution Check)
AkHa00023224,tap_in_home_broken,954,CRITICAL
AkHa00024224,well,292,HIGH (Requires Pollution Check)
AkHa00025224,tap_in_home,354,STANDARD
AkHa00026224,well,388,HIGH (Requires Pollution Check)
AkHa00027224,well,224,HIGH (Requires Pollution Check)
AkHa00028224,well,306,HIGH (Requires Pollution Check)
AkHa00029224,tap_in_home_broken,816,CRITICAL
AkHa00030224,well,366,HIGH (Requires Pollution Check)
AkHa00031224,well,354,HIGH (Requires Pollution Check)
AkHa00032224,well,382,HIGH (Requires Pollution Check)
AkHa00033224,well,384,HIGH (Requires Pollution Check)
AkHa00034224,well,210,HIGH (Requires Pollution Check)
AkHa00035224,tap_in_home_broken,920,CRITICAL
AkHa00036224,shared_tap,3488,STANDARD
AkHa00037224,well,348,HIGH (Requires Pollution Check)
AkHa00038224,well,308,HIGH (Requires Pollution Check)
AkHa00039224,well,252,HIGH (Requires Pollution Check)
AkHa00040224,tap_in_home_broken,338,CRITICAL
AkHa00041224,tap_in_home,672,STANDARD
AkHa00042224,tap_in_home,766,STANDARD
AkHa00043224,tap_in_home_broken,364,CRITICAL
AkHa00044224,well,304,HIGH (Requires Pollution Check)
AkHa00045224,well,370,HIGH (Requires Pollution Check)
AkHa00046224,well,186,HIGH (Requires Pollution Check)
AkHa00047224,well,324,HIGH (Requires Pollution Check)
AkHa00048224,well,174,HIGH (Requires Pollution Check)
AkHa00049224,tap_in_home_broken,892,CRITICAL
AkHa00050224,tap_in_home_broken,716,CRITICAL
AkHa00051224,tap_in_home,900,STANDARD
AkHa00052224,tap_in_home,374,STANDARD
AkHa00053224,tap_in_home_broken,748,CRITICAL
AkHa00054224,well,378,HIGH (Requires Pollution Check)
AkHa00055224,tap_in_home,562,STANDARD
AkHa00056224,well,328,HIGH (Requires Pollution Check)
AkHa00057224,tap_in_home_broken,876,CRITICAL
AkHa00058224,well,290,HIGH (Requires Pollution Check)
AkHa00059224,well,316,HIGH (Requires Pollution Check)
AkHa00060224,tap_in_home_broken,376,CRITICAL
AkHa00061224,tap_in_home,908,STANDARD
AkHa00062224,tap_in_home_broken,576,CRITICAL
AkHa00063224,well,306,HIGH (Requires Pollution Check)
AkHa00064224,tap_in_home_broken,538,CRITICAL
AkHa00065224,tap_in_home_broken,874,CRITICAL
AkHa00066224,tap_in_home,722,STANDARD
AkHa00067224,well,302,HIGH (Requires Pollution Check)
AkHa00068224,well,264,HIGH (Requires Pollution Check)
AkHa00069224,well,306,HIGH (Requires Pollution Check)
AkHa00070224,well,390,HIGH (Requires Pollution Check)
AkHa00071224,well,212,HIGH (Requires Pollution Check)
AkHa00072224,tap_in_home_broken,816,CRITICAL
AkHa00073224,well,354,HIGH (Requires Pollution Check)
