,record_id,percent_male,percent_female,percent_child
0,21896,4.78,87.5,7.72
1,9514,10.94,67.97,21.09
2,54843,10,75.38,14.62
3,2550,7.1,84.15,8.74
4,31721,5.79,72.73,21.49
5,21704,6.33,76.58,17.09
6,25553,4.85,83.98,11.17
7,22378,7.69,81.2,11.11
8,57788,7.25,86.47,6.28
9,51643,10.14,48.65,41.22
10,10392,4.28,84.49,11.23
11,52987,4.27,88.41,7.32
12,36385,9.82,75,15.18
13,45032,5.09,81.02,13.89
14,20135,3.17,85.52,11.31
15,4308,5.78,85.78,8.44
16,28514,6.07,69.23,24.7
17,46374,7.19,81.29,11.51
18,19644,2.62,89.01,8.38
19,40067,5.65,82.26,12.1
20,26565,5.8,85.71,8.48
21,13404,7.63,73.28,19.08
22,13171,3.95,90.79,5.26
23,6093,6.67,86.22,7.11
24,36271,4.67,81.31,14.02
25,53449,3.94,86.02,10.04
26,51056,9.92,80.99,9.09
27,45274,8.4,72.52,19.08
28,17509,4.21,84.58,11.21
29,4681,4.24,76.27,19.49
30,48514,2.88,71.19,25.93
31,9483,5.22,86.19,8.58
32,34196,2.97,87.71,9.32
33,20128,9.57,80,10.43
34,21138,3.04,86.96,10
35,42018,2.99,91.03,5.98
36,50761,7.77,85.49,6.74
37,50812,4.35,88.14,7.51
38,50912,7.1,79.23,13.66
39,50974,16.67,65.83,17.5
40,50993,16.18,71.08,12.75
41,51028,5.91,87.27,6.82
42,51103,8.52,74.43,17.05
43,51268,2.7,78.38,18.92
44,39696,5.06,89.45,5.49
45,49967,6.74,80.83,12.44
46,7482,3.91,84.78,11.3
47,38638,5.06,84.18,10.76
48,9909,4.61,89.4,5.99
49,43552,4.32,58.38,37.3
50,46128,5.06,75.95,18.99
51,34915,8.28,74.56,17.16
52,37030,3.91,85.16,10.94
53,42192,3.01,88.72,8.27
54,14683,4.66,80.83,14.51
55,35623,9.52,69.05,21.43
56,43188,10.87,68.84,20.29
57,16828,8.64,75.31,16.05
58,10493,4.52,80.4,15.08
59,9768,6.22,88.44,5.33
60,28869,3.8,80.98,15.22
61,35939,9.72,80.56,9.72
62,29700,5.68,84.09,10.23
63,34001,5.37,86.78,7.85
64,28720,3.88,82.04,14.08
65,11935,7.61,77.16,15.23
66,15106,10.43,73.04,16.52
67,11440,8.38,67.07,24.55
68,45459,5.78,85.33,8.89
69,19989,5.16,67.61,27.23
70,6811,2.39,88.05,9.56
71,38678,4.67,51.33,44
72,33321,10.43,79.13,10.43
73,9079,5,77.5,17.5
74,2073,3.14,79.25,17.61
75,17343,2.99,88.06,8.96
76,44165,3.6,92,4.4
77,17,3.76,83.33,12.9
78,15700,6.33,83.26,10.41
79,37942,4.17,87.92,7.92
80,13554,8.39,78.71,12.9
81,22925,6.64,84.51,8.85
82,46735,5,84.58,10.42
83,25933,3.81,90.68,5.51
84,26132,8.89,76.3,14.81
85,30079,6.28,87.44,6.28
86,49958,7.03,85.95,7.03
87,39851,3.35,87.08,9.57
88,13734,8.62,76.44,14.94
89,2453,2.24,88.81,8.96
90,24462,5,77.5,17.5
91,36259,3.93,85.36,10.71
92,19412,2.66,90.49,6.84
93,31734,8.72,71.14,20.13
94,5315,6.86,80.39,12.75
95,12774,6.3,85.04,8.66
96,34752,9.27,74.17,16.56
97,29901,9.87,78.95,11.18
98,29928,7.44,80.17,12.4
99,30006,15.6,74.31,10.09
100,30023,12.96,75,12.04
101,30070,3.08,90.26,6.67
102,30159,9.15,77.46,13.38
103,30227,7.18,85.64,7.18
104,30312,6.61,85.9,7.49
105,23152,5.79,85.95,8.26
106,45409,3.25,89.02,7.72
107,15408,10.77,76.92,12.31
108,18422,6.4,78.4,15.2
109,32842,6.45,84.95,8.6
110,58426,5.23,88.24,6.54
111,38253,5.98,83.76,10.26
112,8793,5.86,89.96,4.18
113,2428,6.94,80.09,12.96
114,29281,2.25,86.52,11.24
115,27290,5.34,86.89,7.77
116,15709,5.8,83.93,10.27
117,51473,5.17,73.28,21.55
118,51509,5.26,72.93,21.8
119,51580,3.47,89.6,6.94
120,51656,4.15,87.55,8.3
121,51836,3.05,59.9,37.06
122,51840,14.22,75.86,9.91
123,51874,25.74,62.5,11.76
124,51950,2.75,58.79,38.46
