,crime_id,time_of_incident,loc_id,crime_type,victim_gender
0,C00014,1/1/10 4:00,HaRu20242,harassment,F
1,C00027,1/1/10 5:00,KiRu27539,public_intoxication,F
2,C00050,1/1/10 6:00,SoRu37961,severe_assault,F
3,C00059,1/1/10 6:00,KiRu25435,vandalism,F
4,C00066,1/1/10 8:00,SoRu34723,theft,F
5,C00084,1/1/10 9:00,KiRu26096,theft,F
6,C00087,1/1/10 13:00,AkHa00548,sexual_assault,F
7,C00099,1/1/10 13:00,SoRu35387,vandalism,F
8,C00106,1/1/10 16:00,KiZu30725,public_intoxication,M
9,C00113,1/1/10 17:00,AkRu08396,sexual_assault,F
10,C00130,1/1/10 19:00,KiRu28200,murder,F
11,C00134,1/1/10 19:00,AkRu06942,severe_assault,F
12,C00153,1/1/10 19:00,AkLu02621,sexual_assault,F
13,C00160,1/1/10 20:00,AmAs10165,public_intoxication,M
14,C00173,1/1/10 20:00,AmRu15098,severe_assault,F
15,C00177,1/1/10 20:00,HaRu20099,harassment,F
16,C00195,1/1/10 21:00,KiRu25406,severe_assault,M
17,C00204,1/1/10 21:00,KiRu25656,harassment,F
18,C00208,1/1/10 21:00,AkLu01743,harassment,F
19,C00230,1/1/10 23:00,SoRu38449,severe_assault,C
20,C00232,1/1/10 23:00,KiRu25535,theft,F
21,C00237,1/1/10 23:00,KiRu25908,harassment,F
22,C00253,1/2/10 4:00,SoRu36333,murder,F
23,C00280,1/2/10 4:00,AkRu03619,sexual_assault,F
24,C00295,1/2/10 4:00,SoRu39202,sexual_assault,C
25,C00315,1/2/10 4:00,HaRu17850,theft,F
26,C00316,1/2/10 5:00,HaRu18643,public_intoxication,M
27,C00344,1/2/10 6:00,SoRu38121,vandalism,F
28,C00347,1/2/10 9:00,HaRu19818,harassment,F
29,C00348,1/2/10 10:00,SoRu36330,harassment,M
30,C00354,1/2/10 12:00,KiZu31300,public_intoxication,F
31,C00366,1/2/10 13:00,KiZu30866,vandalism,M
32,C00375,1/2/10 15:00,AmAs10390,public_intoxication,M
33,C00397,1/2/10 15:00,SoRu39456,theft,M
34,C00399,1/2/10 16:00,SoRu37865,public_intoxication,F
35,C00405,1/2/10 16:00,AmAs10390,sexual_assault,M
36,C00410,1/2/10 17:00,AkRu05468,vandalism,F
37,C00418,1/2/10 19:00,KiRu30226,severe_assault,F
38,C00423,1/2/10 19:00,AkHa00548,vandalism,F
39,C00424,1/2/10 20:00,KiRu29154,theft,M
40,C00431,1/2/10 20:00,AmRu14745,vandalism,M
41,C00436,1/2/10 20:00,AmDa11944,theft,M
42,C00460,1/2/10 20:00,AkRu03503,theft,F
43,C00490,1/2/10 22:00,AkRu08663,theft,F
44,C00491,1/2/10 23:00,AkRu06923,harassment,F
45,C00498,1/2/10 23:00,SoRu36048,theft,M
46,C00500,1/3/10 4:00,AmDa11679,sexual_assault,M
47,C00504,1/3/10 7:00,KiZu31235,vandalism,M
48,C00516,1/3/10 8:00,AkRu03119,theft,F
49,C00517,1/3/10 12:00,SoRu36129,harassment,F
50,C00552,1/3/10 13:00,KiRu29288,theft,F
51,C00565,1/3/10 14:00,AkRu04258,severe_assault,F
52,C00580,1/3/10 15:00,AmBe11044,theft,M
53,C00625,1/3/10 19:00,KiRu28894,public_intoxication,M
54,C00626,1/3/10 20:00,KiZu30834,harassment,F
55,C00634,1/3/10 21:00,AkRu05829,public_intoxication,F
56,C00658,1/3/10 22:00,AmRu15209,public_intoxication,M
57,C00668,1/3/10 23:00,KiRu29410,harassment,F
58,C00669,1/3/10 23:00,AmBe11141,harassment,M
59,C00675,1/4/10 5:00,AmAs10109,theft,M
60,C00681,1/4/10 5:00,AmPw12688,public_intoxication,C
61,C00696,1/4/10 6:00,KiZu31133,vandalism,F
62,C00702,1/4/10 8:00,HaRu18458,sexual_assault,F
63,C00703,1/4/10 11:00,SoRu37481,harassment,F
64,C00709,1/4/10 12:00,HaRu20615,theft,C
65,C00714,1/4/10 14:00,KiRu26887,murder,C
66,C00729,1/4/10 15:00,KiRu25667,harassment,F
67,C00742,1/4/10 19:00,AmRu15493,severe_assault,M
68,C00743,1/4/10 21:00,AmRu14716,public_intoxication,M
69,C00764,1/4/10 21:00,KiRu25675,harassment,F
70,C00786,1/4/10 22:00,SoIl32810,sexual_assault,F
71,C00789,1/4/10 22:00,HaRu17383,sexual_assault,F
72,C00806,1/4/10 23:00,HaRu18359,severe_assault,M
73,C00818,1/5/10 5:00,AkRu04980,harassment,F
74,C00830,1/5/10 6:00,SoRu39367,sexual_assault,C
75,C00845,1/5/10 7:00,SoRu38331,harassment,M
76,C00860,1/5/10 8:00,SoRu34791,harassment,F
77,C00864,1/5/10 8:00,SoRu39636,sexual_assault,F
78,C00866,1/5/10 9:00,AkRu06690,harassment,F
79,C00870,1/5/10 9:00,AkRu05069,harassment,C
80,C00873,1/5/10 13:00,SoRu37481,vandalism,C
81,C00890,1/5/10 17:00,SoRu35125,harassment,F
82,C00896,1/5/10 20:00,SoRu38221,theft,F
83,C00920,1/5/10 21:00,AmRu14827,sexual_assault,F
84,C00938,1/5/10 21:00,AkRu04073,sexual_assault,C
85,C00954,1/5/10 22:00,AkRu04980,sexual_assault,F
86,C00991,1/5/10 23:00,HaRu17471,harassment,F
87,C00999,1/5/10 23:00,AkRu03968,public_intoxication,C
88,C01006,1/6/10 7:00,SoRu36131,sexual_assault,F
89,C01029,1/6/10 7:00,SoIl32810,theft,F
90,C01033,1/6/10 8:00,HaRu18951,vandalism,C
91,C01036,1/6/10 10:00,AkRu04941,harassment,F
92,C01051,1/6/10 13:00,KiRu27506,public_intoxication,F
93,C01057,1/6/10 17:00,SoRu35424,murder,F
94,C01068,1/6/10 17:00,HaRu19234,public_intoxication,F
95,C01095,1/6/10 19:00,KiRu26139,harassment,F
96,C01097,1/6/10 19:00,KiZu31185,theft,C
97,C01101,1/6/10 20:00,AkRu05419,murder,F
98,C01105,1/6/10 20:00,AkRu04898,severe_assault,F
99,C01110,1/6/10 21:00,SoRu36709,severe_assault,F
100,C01147,1/6/10 22:00,AkRu04574,public_intoxication,C
101,C01163,1/6/10 22:00,KiZu31376,sexual_assault,F
102,C01167,1/6/10 23:00,KiRu29957,public_intoxication,M
103,C01170,1/7/10 4:00,SoRu37677,harassment,F
104,C01175,1/7/10 4:00,AkRu04505,murder,F
105,C01199,1/7/10 6:00,HaDj16832,sexual_assault,F
106,C01223,1/7/10 10:00,AkRu08111,sexual_assault,F
107,C01227,1/7/10 15:00,AkRu07043,harassment,F
108,C01233,1/7/10 16:00,HaRu19107,sexual_assault,F
109,C01255,1/7/10 19:00,SoMa34482,severe_assault,F
110,C01273,1/7/10 19:00,KiRu27664,harassment,F
111,C01275,1/7/10 20:00,AmRu14814,theft,F
112,C01283,1/7/10 21:00,AkRu04180,public_intoxication,C
113,C01284,1/7/10 22:00,HaDe16590,murder,F
114,C01295,1/7/10 23:00,SoRu35898,public_intoxication,F
115,C01321,1/8/10 4:00,HaRu20274,public_intoxication,F
116,C01322,1/8/10 5:00,KiRu30005,public_intoxication,F
117,C01339,1/8/10 5:00,AmRu12953,harassment,C
118,C01357,1/8/10 5:00,SoRu38342,harassment,F
119,C01376,1/8/10 5:00,SoMa34581,theft,F
120,C01385,1/8/10 7:00,AkRu08636,harassment,F
121,C01408,1/8/10 7:00,AmBe10997,theft,M
122,C01414,1/8/10 9:00,SoRu36085,severe_assault,F
123,C01421,1/8/10 10:00,AkRu05049,harassment,F
124,C01426,1/8/10 11:00,AmRu13409,harassment,M
125,C01429,1/8/10 11:00,KiZu30683,theft,F
126,C01445,1/8/10 13:00,AkRu03264,sexual_assault,F
127,C01453,1/8/10 13:00,AkRu03343,theft,M
128,C01454,1/8/10 14:00,KiRu25881,murder,F
129,C01456,1/8/10 14:00,AkRu03377,harassment,F
130,C01458,1/8/10 15:00,HaRu18810,theft,F
131,C01463,1/8/10 15:00,SoRu37077,sexual_assault,F
132,C01466,1/8/10 15:00,KiMr24818,harassment,M
133,C01467,1/8/10 15:00,AkRu06431,severe_assault,F
134,C01468,1/8/10 16:00,SoRu39623,harassment,M
135,C01506,1/8/10 16:00,AkRu07479,harassment,F
136,C01508,1/8/10 16:00,KiRu25851,public_intoxication,F
137,C01522,1/8/10 17:00,AkRu08153,harassment,F
138,C01523,1/8/10 18:00,AmDa12143,harassment,F
139,C01580,1/8/10 19:00,KiRu29861,sexual_assault,M
140,C01581,1/8/10 19:00,KiRu25426,theft,F
141,C01583,1/8/10 21:00,AkRu05801,sexual_assault,F
142,C01585,1/8/10 22:00,AkRu02932,sexual_assault,F
143,C01602,1/8/10 22:00,HaRu19123,murder,F
144,C01603,1/8/10 23:00,SoRu38709,sexual_assault,F
145,C01607,1/9/10 4:00,AmRu15664,murder,M
146,C01608,1/9/10 5:00,HaRu17226,murder,F
147,C01615,1/9/10 6:00,AkRu08712,vandalism,M
148,C01634,1/9/10 6:00,AkRu06761,theft,M
149,C01658,1/9/10 6:00,HaRu18643,vandalism,F
150,C01671,1/9/10 8:00,KiZu30961,theft,M
151,C01711,1/9/10 8:00,KiRu25668,severe_assault,M
152,C01716,1/9/10 9:00,HaDj16895,theft,F
153,C01727,1/9/10 9:00,AkRu03584,public_intoxication,F
154,C01749,1/9/10 10:00,AkRu04886,public_intoxication,F
155,C01750,1/9/10 12:00,KiZu30716,vandalism,F
156,C01772,1/9/10 12:00,AkRu04598,public_intoxication,C
157,C01790,1/9/10 13:00,KiRu30096,theft,F
158,C01798,1/9/10 14:00,KiRu30129,theft,C
159,C01799,1/9/10 16:00,SoRu38519,theft,F
160,C01814,1/9/10 18:00,AmDa11944,theft,C
161,C01827,1/9/10 20:00,AkRu07297,theft,F
162,C01836,1/9/10 20:00,KiRu30009,severe_assault,F
163,C01852,1/9/10 21:00,SoKo33224,theft,F
164,C01860,1/9/10 22:00,AkRu04163,harassment,F
165,C01867,1/9/10 22:00,KiRu28922,harassment,F
166,C01877,1/9/10 22:00,AkRu08034,severe_assault,F
167,C01881,1/9/10 23:00,KiRu30242,public_intoxication,M
168,C01891,1/9/10 23:00,AkRu04876,harassment,F
169,C01895,1/10/10 7:00,AkRu04152,murder,C
170,C01900,1/10/10 7:00,AkRu05111,theft,F
171,C01915,1/10/10 8:00,KiRu27023,harassment,M
172,C01946,1/10/10 9:00,AkRu05505,theft,F
173,C01948,1/10/10 11:00,KiRu30387,sexual_assault,F
174,C01949,1/10/10 15:00,KiZu30837,theft,F
175,C01963,1/10/10 19:00,AmAm09983,theft,M
176,C01968,1/10/10 19:00,AmBe11037,public_intoxication,M
177,C01992,1/10/10 20:00,AkHa00259,theft,M
178,C01995,1/10/10 20:00,KiRu25979,public_intoxication,F
